yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Import,Comoros,World,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",27819.0,,-12.2045176,44.2832964,-36.8535712,174.7456809
2014,2014.0,Import,Comoros,Austria,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",50.0,,-12.2045176,44.2832964,47.59397,14.12456
2014,2014.0,Import,Comoros,China,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",453.0,,-12.2045176,44.2832964,35.000074,104.999927
2014,2014.0,Import,Comoros,France,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",817.0,,-12.2045176,44.2832964,46.603354,1.8883335
2014,2014.0,Import,Comoros,Madagascar,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",2468.0,,-12.2045176,44.2832964,-18.9249604,46.4416422
2014,2014.0,Import,Comoros,Mauritius,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",941.0,,-12.2045176,44.2832964,-20.2759451,57.5703566
2014,2014.0,Import,Comoros,Saudi Arabia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",518.0,,-12.2045176,44.2832964,25.6242618,42.3528328
2014,2014.0,Import,Comoros,Thailand,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",64.0,,-12.2045176,44.2832964,14.8971921,100.83273
2014,2014.0,Import,Comoros,United Arab Emirates,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",16582.0,,-12.2045176,44.2832964,24.0002488,53.9994829
2014,2014.0,Import,Comoros,Tunisia,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",66.0,,-12.2045176,44.2832964,33.8439408,9.400138
2014,2014.0,Import,Comoros,United Rep. of Tanzania,46.0,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",5857.0,,-12.2045176,44.2832964,,
