yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,65102,,,6.06272746187266,22.727528470146083
2006,2006,Export,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,World,World,67183,,,,
2006,2006,Export,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,2081,,,,
