yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2014,2014.0,Re-Import,Georgia,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2161.0,,32.3293809,-83.1137366,-36.8535712,174.7456809
2014,2014.0,Re-Import,Georgia,Armenia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",289.0,,32.3293809,-83.1137366,40.7696272,44.6736646
2014,2014.0,Re-Import,Georgia,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1871.0,,32.3293809,-83.1137366,50.6402809,4.6667145
