yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,7904454,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,436883,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,42968,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,342407,25.6242618,42.3528328,19.569604022535763,12.47761721199581
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,894048,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,10273815,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,2420869,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,677342,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,4748330,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,115025,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,3558045,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,14527350,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2005,2005,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,70000777,25.6242618,42.3528328,,
