yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,27756620,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,406467,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1613699,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,2206745,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,7513032,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,833664,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,20886139,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1257859,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,15917,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,232197,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,161313,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,86908,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,41408537,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,151768160,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,89282,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,2008,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,315653,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,104117,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,96689,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,2465478,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,69220,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,50585,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,10028352,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,25841502,21.0000287,57.0036901,,
2002,2002,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,1629244,21.0000287,57.0036901,,
