yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,893149,26.82,18.12,-16.85099460447687,133.4130365630627
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1443129,26.82,18.12,37.977378106878206,73.97804075806764
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,66006,26.82,18.12,,
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,708225,26.82,18.12,43.897683433510366,-100.08947125585888
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,448039,26.82,18.12,59.36075159783851,25.01346951967388
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,240539,26.82,18.12,10.528384761701911,103.08333472012376
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1351031,26.82,18.12,40.12399607988535,20.742583178432696
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,1291417,26.82,18.12,,
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1798878,26.82,18.12,26.42921218083572,52.86847103284948
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,678001,26.82,18.12,47.92172048214207,7.866753258497997
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9290849,26.82,18.12,,
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,17900,26.82,18.12,,
2018,2018,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,114533,26.82,18.12,,
