yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Export,Libya,4,Dairy produce; birds eggs; natural honey;,World,World,9195,26.8234472,18.1236723,,
2017,2017,Export,Libya,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,457,26.8234472,18.1236723,,
2017,2017,Export,Libya,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,8738,26.8234472,18.1236723,,
