yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,World,World,64394,26.1551249,50.5344606,,
2005,2005,Re-Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,11702,26.1551249,50.5344606,,
2005,2005,Re-Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,40253,26.1551249,50.5344606,,
2005,2005,Re-Export,Bahrain,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,10090,26.1551249,50.5344606,,
