yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,9505715,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,463,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,217795,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,75191,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,505813,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,6770640,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,135109,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,262165,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,86264,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,598,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,104,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,870095,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,13226165,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,World,World,71339372,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,139824,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,140798,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,378850,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,349654,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,62691,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,483036,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,2968,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,4013,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,36644042,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,289242,26.1551249,50.5344606,,
2002,2002,Import,Bahrain,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,65159,26.1551249,50.5344606,,
