yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,7178,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2010,2010,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,97,16.3471243,47.8915271,19.569604022535763,12.47761721199581
2010,2010,Re-Export,Yemen,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8321,16.3471243,47.8915271,,
