yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,36671,31.1667049,36.941628,19.569604022535763,12.47761721199581
2004,2004,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,8249,31.1667049,36.941628,26.42921218083572,52.86847103284948
2004,2004,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,238685,31.1667049,36.941628,,
