yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,3545214,,,-36.8535712,174.7456809
2016,2016,Re-Export,Oman,Iran,64,Footwear; gaiters and the like; parts of such articles,1168767,,,32.6475314,54.5643516
2016,2016,Re-Export,Oman,Saudi Arabia,64,Footwear; gaiters and the like; parts of such articles,574,,,25.6242618,42.3528328
2016,2016,Re-Export,Oman,Singapore,64,Footwear; gaiters and the like; parts of such articles,11001,,,1.357107,103.8194992
2016,2016,Re-Export,Oman,Somalia,64,Footwear; gaiters and the like; parts of such articles,2317333,,,8.3676771,49.083416
2016,2016,Re-Export,Oman,Spain,64,Footwear; gaiters and the like; parts of such articles,624,,,39.3260685,-4.8379791
2016,2016,Re-Export,Oman,Syria,64,Footwear; gaiters and the like; parts of such articles,442,,,34.6401861,39.0494106
2016,2016,Re-Export,Oman,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,46470,,,24.0002488,53.9994829
2017,2017,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,24837566,,,-36.8535712,174.7456809
2017,2017,Re-Export,Oman,Bahrain,64,Footwear; gaiters and the like; parts of such articles,4421,,,26.1551249,50.5344606
2017,2017,Re-Export,Oman,France,64,Footwear; gaiters and the like; parts of such articles,127,,,46.603354,1.8883335
2017,2017,Re-Export,Oman,Iran,64,Footwear; gaiters and the like; parts of such articles,1426676,,,32.6475314,54.5643516
2017,2017,Re-Export,Oman,Iraq,64,Footwear; gaiters and the like; parts of such articles,1029,,,33.0955793,44.1749775
2017,2017,Re-Export,Oman,Kuwait,64,Footwear; gaiters and the like; parts of such articles,205,,,29.2733964,47.4979476
2017,2017,Re-Export,Oman,Netherlands,64,Footwear; gaiters and the like; parts of such articles,44754,,,52.2434979,5.6343227
2017,2017,Re-Export,Oman,Qatar,64,Footwear; gaiters and the like; parts of such articles,20576497,,,25.3336984,51.2295295
2017,2017,Re-Export,Oman,Singapore,64,Footwear; gaiters and the like; parts of such articles,13872,,,1.357107,103.8194992
2017,2017,Re-Export,Oman,Somalia,64,Footwear; gaiters and the like; parts of such articles,1786663,,,8.3676771,49.083416
2017,2017,Re-Export,Oman,Syria,64,Footwear; gaiters and the like; parts of such articles,37976,,,34.6401861,39.0494106
2017,2017,Re-Export,Oman,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,921934,,,24.0002488,53.9994829
2017,2017,Re-Export,Oman,Yemen,64,Footwear; gaiters and the like; parts of such articles,23407,,,16.3471243,47.8915271
2018,2018,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,31345409,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,Bahrain,64,Footwear; gaiters and the like; parts of such articles,624,,,26.1551249,50.5344606
2018,2018,Re-Export,Oman,China,64,Footwear; gaiters and the like; parts of such articles,57425,,,35.000074,104.999927
2018,2018,Re-Export,Oman,Benin,64,Footwear; gaiters and the like; parts of such articles,9994,,,9.5293472,2.2584408
2018,2018,Re-Export,Oman,France,64,Footwear; gaiters and the like; parts of such articles,148,,,46.603354,1.8883335
2018,2018,Re-Export,Oman,Iran,64,Footwear; gaiters and the like; parts of such articles,633243,,,32.6475314,54.5643516
2018,2018,Re-Export,Oman,Kuwait,64,Footwear; gaiters and the like; parts of such articles,336345,,,29.2733964,47.4979476
2018,2018,Re-Export,Oman,Libya,64,Footwear; gaiters and the like; parts of such articles,5253,,,26.8234472,18.1236723
2018,2018,Re-Export,Oman,Qatar,64,Footwear; gaiters and the like; parts of such articles,27869219,,,25.3336984,51.2295295
2018,2018,Re-Export,Oman,Somalia,64,Footwear; gaiters and the like; parts of such articles,1515487,,,8.3676771,49.083416
2018,2018,Re-Export,Oman,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,844931,,,24.0002488,53.9994829
2018,2018,Re-Export,Oman,Egypt,64,Footwear; gaiters and the like; parts of such articles,30176,,,26.2540493,29.2675469
2018,2018,Re-Export,Oman,United Rep. of Tanzania,64,Footwear; gaiters and the like; parts of such articles,520,,,,
2018,2018,Re-Export,Oman,Free Zones,64,Footwear; gaiters and the like; parts of such articles,957,,,,
2018,2018,Re-Export,Oman,Yemen,64,Footwear; gaiters and the like; parts of such articles,41081,,,16.3471243,47.8915271
2019,2019,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,26775560,,,-36.8535712,174.7456809
2019,2019,Re-Export,Oman,Bahrain,64,Footwear; gaiters and the like; parts of such articles,30291,,,26.1551249,50.5344606
