yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,122947,31.1667049,36.941628,,
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,3685,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,402831,31.1667049,36.941628,10.528384761701911,103.08333472012376
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,2960,31.1667049,36.941628,40.12399607988535,20.742583178432696
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,964,31.1667049,36.941628,47.92172048214207,7.866753258497997
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,716165,31.1667049,36.941628,,
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Iraq, Iraq,70450,31.1667049,36.941628,,
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Oman, Oman,1255,31.1667049,36.941628,,
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Qatar, Qatar,8006,31.1667049,36.941628,,
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,2818,31.1667049,36.941628,,
2008,2008,Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,29884,31.1667049,36.941628,,
