yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,20141,25.62,42.35,37.977378106878206,73.97804075806764
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,6776647,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,117064,25.62,42.35,59.36075159783851,25.01346951967388
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,4500,25.62,42.35,25.499703063807168,75.5024015339642
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2953279,25.62,42.35,6.06272746187266,22.727528470146083
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,638495,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,149838,25.62,42.35,26.42921218083572,52.86847103284948
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2688,25.62,42.35,47.92172048214207,7.866753258497997
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,45679723,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,1600832,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,2468291,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,730281,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,2749774,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,8053797,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,725289,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,362,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,2086586,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,2033940,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,46761,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,10999450,25.62,42.35,,
2021,2021,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,3324849,25.62,42.35,,
