yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2097467,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Re-Export,Qatar,Bahrain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,65916,25.3336984,51.2295295,26.1551249,50.5344606
2016,2016,Re-Export,Qatar,Oman,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,84704,25.3336984,51.2295295,21.0000287,57.0036901
2016,2016,Re-Export,Qatar,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,67439,25.3336984,51.2295295,52.2434979,5.6343227
2016,2016,Re-Export,Qatar,Spain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,110308,25.3336984,51.2295295,39.3260685,-4.8379791
2016,2016,Re-Export,Qatar,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,852162,25.3336984,51.2295295,24.0002488,53.9994829
2016,2016,Re-Export,Qatar,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,22006,25.3336984,51.2295295,38.9597594,34.9249653
2016,2016,Re-Export,Qatar,United Kingdom,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,894929,25.3336984,51.2295295,54.7023545,-3.2765753
2017,2017,Re-Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2934370,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Re-Export,Qatar,France,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,200,25.3336984,51.2295295,46.603354,1.8883335
2017,2017,Re-Export,Qatar,Iran,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7160,25.3336984,51.2295295,32.6475314,54.5643516
2017,2017,Re-Export,Qatar,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,179334,25.3336984,51.2295295,52.2434979,5.6343227
2017,2017,Re-Export,Qatar,Portugal,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,162473,25.3336984,51.2295295,39.6621648,-8.1353519
2017,2017,Re-Export,Qatar,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,23131,25.3336984,51.2295295,25.6242618,42.3528328
2017,2017,Re-Export,Qatar,Spain,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,116594,25.3336984,51.2295295,39.3260685,-4.8379791
2017,2017,Re-Export,Qatar,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,200737,25.3336984,51.2295295,24.0002488,53.9994829
2017,2017,Re-Export,Qatar,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,5425,25.3336984,51.2295295,38.9597594,34.9249653
2017,2017,Re-Export,Qatar,United Kingdom,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2239210,25.3336984,51.2295295,54.7023545,-3.2765753
2017,2017,Re-Export,Qatar,USA,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,100,25.3336984,51.2295295,,
2019,2019,Re-Export,Qatar,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4223806,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Re-Export,Qatar,Kuwait,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,70338,25.3336984,51.2295295,29.2733964,47.4979476
2019,2019,Re-Export,Qatar,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,502776,25.3336984,51.2295295,4.5693754,102.2656823
2019,2019,Re-Export,Qatar,Netherlands,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,831994,25.3336984,51.2295295,52.2434979,5.6343227
2019,2019,Re-Export,Qatar,India,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,38507,25.3336984,51.2295295,22.3511148,78.6677428
2019,2019,Re-Export,Qatar,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,19760,25.3336984,51.2295295,38.9597594,34.9249653
2019,2019,Re-Export,Qatar,United Kingdom,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2760427,25.3336984,51.2295295,54.7023545,-3.2765753
