yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Re-Export,Saudi Arabia,Somalia,39,Plastics and articles thereof,392130,,,8.3676771,49.083416
2018,2018,Re-Export,Saudi Arabia,South Africa,39,Plastics and articles thereof,42321,,,-28.8166236,24.991639
2018,2018,Re-Export,Saudi Arabia,Spain,39,Plastics and articles thereof,128898,,,39.3260685,-4.8379791
2018,2018,Re-Export,Saudi Arabia,South Sudan,39,Plastics and articles thereof,8820,,,,
2018,2018,Re-Export,Saudi Arabia,Sudan,39,Plastics and articles thereof,1128386,,,14.5844444,29.4917691
2018,2018,Re-Export,Saudi Arabia,Switzerland,39,Plastics and articles thereof,50722,,,46.7985624,8.2319736
2018,2018,Re-Export,Saudi Arabia,Thailand,39,Plastics and articles thereof,127273,,,14.8971921,100.83273
2018,2018,Re-Export,Saudi Arabia,Trinidad and Tobago,39,Plastics and articles thereof,8040,,,,
2018,2018,Re-Export,Saudi Arabia,United Arab Emirates,39,Plastics and articles thereof,12933464,,,24.0002488,53.9994829
2018,2018,Re-Export,Saudi Arabia,Tunisia,39,Plastics and articles thereof,10101,,,33.8439408,9.400138
2018,2018,Re-Export,Saudi Arabia,Turkey,39,Plastics and articles thereof,688241,,,38.9597594,34.9249653
2018,2018,Re-Export,Saudi Arabia,Ukraine,39,Plastics and articles thereof,19419,,,49.4871968,31.2718321
2018,2018,Re-Export,Saudi Arabia,Egypt,39,Plastics and articles thereof,1023867,,,26.2540493,29.2675469
2018,2018,Re-Export,Saudi Arabia,United Kingdom,39,Plastics and articles thereof,52791,,,54.7023545,-3.2765753
2018,2018,Re-Export,Saudi Arabia,USA,39,Plastics and articles thereof,412128,,,,
2018,2018,Re-Export,Saudi Arabia,Yemen,39,Plastics and articles thereof,3730624,,,16.3471243,47.8915271
