yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,71833,33.8750629,35.843409,37.977378106878206,73.97804075806764
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,3776,33.8750629,35.843409,51.67568633314729,27.673469819741847
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,2784682,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,7429,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2578009,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,9947,33.8750629,35.843409,59.36075159783851,25.01346951967388
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,10942,33.8750629,35.843409,10.528384761701911,103.08333472012376
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,16683767,33.8750629,35.843409,40.12399607988535,20.742583178432696
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,698869,33.8750629,35.843409,6.06272746187266,22.727528470146083
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,3002351,33.8750629,35.843409,26.42921218083572,52.86847103284948
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,13014,33.8750629,35.843409,47.92172048214207,7.866753258497997
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials,World,World,35762948,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,8435013,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,1855,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Cyprus, Cyprus,273604,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,6034,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,41774,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,352741,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,1127,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,87622,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,313947,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,370776,33.8750629,35.843409,,
2002,2002,Export,Lebanon,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,315,33.8750629,35.843409,,
