yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Export,Kuwait,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",748543694.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2016,2016.0,Export,Kuwait,Afghanistan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1430673.0,,29.2733964,47.4979476,33.7680065,66.2385139
2016,2016.0,Export,Kuwait,Algeria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",73326.0,,29.2733964,47.4979476,28.0000272,2.9999825
2016,2016.0,Export,Kuwait,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",636719.0,,29.2733964,47.4979476,-11.8775768,17.5691241
2016,2016.0,Export,Kuwait,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1229432.0,,29.2733964,47.4979476,40.3936294,47.7872508
2016,2016.0,Export,Kuwait,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",177785.0,,29.2733964,47.4979476,-24.7761086,134.755
2016,2016.0,Export,Kuwait,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5504038.0,,29.2733964,47.4979476,26.1551249,50.5344606
2016,2016.0,Export,Kuwait,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1406133.0,,29.2733964,47.4979476,50.6402809,4.6667145
2016,2016.0,Export,Kuwait,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14231.0,,29.2733964,47.4979476,44.3053476,17.5961467
2016,2016.0,Export,Kuwait,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",114066.0,,29.2733964,47.4979476,42.6073975,25.4856617
2016,2016.0,Export,Kuwait,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",28463.0,,29.2733964,47.4979476,12.5433216,104.8144914
2016,2016.0,Export,Kuwait,Cameroon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12650.0,,29.2733964,47.4979476,4.6125522,13.1535811
2016,2016.0,Export,Kuwait,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",882468.0,,29.2733964,47.4979476,61.0666922,-107.991707
2016,2016.0,Export,Kuwait,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2722.0,,29.2733964,47.4979476,7.5554942,80.7137847
2016,2016.0,Export,Kuwait,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",32256475.0,,29.2733964,47.4979476,35.000074,104.999927
2016,2016.0,Export,Kuwait,Dem. Rep. of the Congo,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33081.0,,29.2733964,47.4979476,,
2016,2016.0,Export,Kuwait,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9924.0,,29.2733964,47.4979476,45.5643442,17.0118954
2016,2016.0,Export,Kuwait,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",86.0,,29.2733964,47.4979476,34.9823018,33.1451285
2016,2016.0,Export,Kuwait,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",496.0,,29.2733964,47.4979476,49.7439047,15.3381061
2016,2016.0,Export,Kuwait,Benin,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",222807.0,,29.2733964,47.4979476,9.5293472,2.2584408
2016,2016.0,Export,Kuwait,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",100020.0,,29.2733964,47.4979476,55.670249,10.3333283
2016,2016.0,Export,Kuwait,Dominican Rep.,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",19187.0,,29.2733964,47.4979476,,
2016,2016.0,Export,Kuwait,Ethiopia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",228278.0,,29.2733964,47.4979476,10.2116702,38.6521203
2016,2016.0,Export,Kuwait,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8124.0,,29.2733964,47.4979476,63.2467777,25.9209164
2016,2016.0,Export,Kuwait,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",39731.0,,29.2733964,47.4979476,46.603354,1.8883335
