yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,211426,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,95403,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,4421,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,527532,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,72467,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,1144522,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,7456,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,2030403,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,311062,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,14693826,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Armenia, Armenia,20477,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Jordan, Jordan,135657,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,1398466,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,10608,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,2518718,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,312127,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,1286070,16.3471243,47.8915271,,
2011,2011,Import,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,1652238,16.3471243,47.8915271,,
