yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,9207,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,6735,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,31576,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,World,World,477265,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,34478,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,53238,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,124313,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,523,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,191171,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,22238,25.3336984,51.2295295,,
2008,2008,Export,Qatar,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,3786,25.3336984,51.2295295,,
