yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1360632,26.8234472,18.1236723,37.977378106878206,73.97804075806764
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,6272,26.8234472,18.1236723,51.67568633314729,27.673469819741847
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,323573,26.8234472,18.1236723,,
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,254059,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,120709,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,116487,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,603003,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,1439531,26.8234472,18.1236723,,
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1300623,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,739595,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6350352,26.8234472,18.1236723,,
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes, Malta, Malta,4856,26.8234472,18.1236723,,
2016,2016,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,18309,26.8234472,18.1236723,,
