yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,36399553,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,327576,30.3308401,71.247499,37.977378106878206,73.97804075806764
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1141819,30.3308401,71.247499,51.67568633314729,27.673469819741847
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,83800,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,2311458,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,10049268,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,966660,30.3308401,71.247499,59.36075159783851,25.01346951967388
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,704919,30.3308401,71.247499,10.528384761701911,103.08333472012376
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2401307,30.3308401,71.247499,25.499703063807168,75.5024015339642
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,15800,30.3308401,71.247499,40.12399607988535,20.742583178432696
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,510,30.3308401,71.247499,6.06272746187266,22.727528470146083
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1095898,30.3308401,71.247499,26.42921218083572,52.86847103284948
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,6975502,30.3308401,71.247499,47.92172048214207,7.866753258497997
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,World,World,65331821,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,3023,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,85821,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,6429,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,96,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,257,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,346689,30.3308401,71.247499,,
2007,2007,Import,Pakistan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,283179,30.3308401,71.247499,,
