yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2010,2010.0,Re-Export,Qatar,World,81.0,Other base metals; cermets; articles thereof,16039.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2010,2010.0,Re-Export,Qatar,Oman,81.0,Other base metals; cermets; articles thereof,1236.0,,25.3336984,51.2295295,21.0000287,57.0036901
2010,2010.0,Re-Export,Qatar,Saudi Arabia,81.0,Other base metals; cermets; articles thereof,8242.0,,25.3336984,51.2295295,25.6242618,42.3528328
2010,2010.0,Re-Export,Qatar,United Arab Emirates,81.0,Other base metals; cermets; articles thereof,6561.0,,25.3336984,51.2295295,24.0002488,53.9994829
