yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,6637000,33.87,35.84,-16.85099460447687,133.4130365630627
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,24000,33.87,35.84,37.977378106878206,73.97804075806764
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,42000000,33.87,35.84,51.67568633314729,27.673469819741847
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,7953000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,3535000,33.87,35.84,17.925141963241547,-78.01492950057497
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,633000,33.87,35.84,43.897683433510366,-100.08947125585888
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,30008000,33.87,35.84,59.36075159783851,25.01346951967388
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,7287000,33.87,35.84,10.528384761701911,103.08333472012376
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,1000,33.87,35.84,25.499703063807168,75.5024015339642
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3459000,33.87,35.84,40.12399607988535,20.742583178432696
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,10708000,33.87,35.84,26.42921218083572,52.86847103284948
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,54052000,33.87,35.84,47.92172048214207,7.866753258497997
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,179667000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,766000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,649000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,35000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,10306000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,8000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,1390000,33.87,35.84,,
2004,2004,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,195000,33.87,35.84,,
