yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2020,2020.0,Import,Kuwait,World,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",91457574.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2020,2020.0,Import,Kuwait,Argentina,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",7097.0,,29.2733964,47.4979476,-34.9964963,-64.9672817
2020,2020.0,Import,Kuwait,Australia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",37828.0,,29.2733964,47.4979476,-24.7761086,134.755
2020,2020.0,Import,Kuwait,Austria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",271095.0,,29.2733964,47.4979476,47.59397,14.12456
2020,2020.0,Import,Kuwait,Bahrain,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",284151.0,,29.2733964,47.4979476,26.1551249,50.5344606
2020,2020.0,Import,Kuwait,Bangladesh,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3596.0,,29.2733964,47.4979476,24.4769288,90.2934413
2020,2020.0,Import,Kuwait,Belgium,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",441370.0,,29.2733964,47.4979476,50.6402809,4.6667145
2020,2020.0,Import,Kuwait,Brazil,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",322133.0,,29.2733964,47.4979476,-10.3333333,-53.2
2020,2020.0,Import,Kuwait,Bulgaria,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8114.0,,29.2733964,47.4979476,42.6073975,25.4856617
2020,2020.0,Import,Kuwait,Belarus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5633.0,,29.2733964,47.4979476,53.4250605,27.6971358
2020,2020.0,Import,Kuwait,Cambodia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",243.0,,29.2733964,47.4979476,12.5433216,104.8144914
2020,2020.0,Import,Kuwait,Canada,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",201711.0,,29.2733964,47.4979476,61.0666922,-107.991707
2020,2020.0,Import,Kuwait,Sri Lanka,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1085.0,,29.2733964,47.4979476,7.5554942,80.7137847
2020,2020.0,Import,Kuwait,China,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",17303726.0,,29.2733964,47.4979476,35.000074,104.999927
2020,2020.0,Import,Kuwait,Colombia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2879.0,,29.2733964,47.4979476,4.099917,-72.9088133
2020,2020.0,Import,Kuwait,Costa Rica,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1031.0,,29.2733964,47.4979476,10.2735633,-84.0739102
2020,2020.0,Import,Kuwait,Cyprus,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1206.0,,29.2733964,47.4979476,34.9823018,33.1451285
2020,2020.0,Import,Kuwait,Czechia,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",124791.0,,29.2733964,47.4979476,49.7439047,15.3381061
2020,2020.0,Import,Kuwait,Denmark,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",84539.0,,29.2733964,47.4979476,55.670249,10.3333283
2020,2020.0,Import,Kuwait,El Salvador,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",1166.0,,29.2733964,47.4979476,13.8000382,-88.9140683
2020,2020.0,Import,Kuwait,Finland,82.0,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",9367.0,,29.2733964,47.4979476,63.2467777,25.9209164
