yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Saudi Arabia,South Africa,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3519737,,,-28.8166236,24.991639
2016,2016,Import,Saudi Arabia,Spain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5512540,,,39.3260685,-4.8379791
2016,2016,Import,Saudi Arabia,Sweden,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4851472,,,59.6749712,14.5208584
2016,2016,Import,Saudi Arabia,Switzerland,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3005337,,,46.7985624,8.2319736
2016,2016,Import,Saudi Arabia,Thailand,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2331202,,,14.8971921,100.83273
2016,2016,Import,Saudi Arabia,United Arab Emirates,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2598136,,,24.0002488,53.9994829
2016,2016,Import,Saudi Arabia,Turkey,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2631736,,,38.9597594,34.9249653
2016,2016,Import,Saudi Arabia,Egypt,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",909334,,,26.2540493,29.2675469
2016,2016,Import,Saudi Arabia,United Kingdom,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",34758710,,,54.7023545,-3.2765753
2016,2016,Import,Saudi Arabia,United Rep. of Tanzania,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",502133,,,,
2016,2016,Import,Saudi Arabia,USA,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",141859110,,,,
2016,2016,Import,Saudi Arabia,Venezuela,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",30400,,,8.0018709,-66.1109318
2016,2016,Import,Saudi Arabia,"Areas, nes",82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",760267,,,,
2018,2018,Import,Saudi Arabia,World,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",469951767,,,-36.8535712,174.7456809
2018,2018,Import,Saudi Arabia,Angola,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",8523,,,-11.8775768,17.5691241
2018,2018,Import,Saudi Arabia,Azerbaijan,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",5846,,,40.3936294,47.7872508
2018,2018,Import,Saudi Arabia,Argentina,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",19570,,,-34.9964963,-64.9672817
2018,2018,Import,Saudi Arabia,Australia,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3864499,,,-24.7761086,134.755
2018,2018,Import,Saudi Arabia,Austria,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3199163,,,47.59397,14.12456
2018,2018,Import,Saudi Arabia,Bahrain,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",125622,,,26.1551249,50.5344606
2018,2018,Import,Saudi Arabia,Belgium,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",635842,,,50.6402809,4.6667145
2018,2018,Import,Saudi Arabia,Brazil,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2774733,,,-10.3333333,-53.2
2018,2018,Import,Saudi Arabia,Brunei Darussalam,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3402,,,,
