yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,618934,25.6242618,42.3528328,-16.85099460447687,133.4130365630627
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,129867,25.6242618,42.3528328,37.977378106878206,73.97804075806764
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,110667,25.6242618,42.3528328,51.67568633314729,27.673469819741847
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,83200,25.6242618,42.3528328,17.925141963241547,-78.01492950057497
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,276267,25.6242618,42.3528328,43.897683433510366,-100.08947125585888
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,7286942,25.6242618,42.3528328,59.36075159783851,25.01346951967388
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,1313868,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,189067,25.6242618,42.3528328,25.499703063807168,75.5024015339642
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1161334,25.6242618,42.3528328,40.12399607988535,20.742583178432696
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2026136,25.6242618,42.3528328,26.42921218083572,52.86847103284948
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,7959744,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2002,2002,Import,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin,World,World,35309911,25.6242618,42.3528328,,
