yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Oman,World,1,Animals; live,110566172,,,-36.8535712,174.7456809
2016,2016,Export,Oman,Bahrain,1,Animals; live,8880142,,,26.1551249,50.5344606
2016,2016,Export,Oman,Bangladesh,1,Animals; live,68829,,,24.4769288,90.2934413
2016,2016,Export,Oman,Canada,1,Animals; live,130,,,61.0666922,-107.991707
2016,2016,Export,Oman,China,1,Animals; live,130,,,35.000074,104.999927
2016,2016,Export,Oman,Cyprus,1,Animals; live,283,,,34.9823018,33.1451285
2016,2016,Export,Oman,France,1,Animals; live,483,,,46.603354,1.8883335
2016,2016,Export,Oman,Gabon,1,Animals; live,67,,,-0.8999695,11.6899699
2016,2016,Export,Oman,Germany,1,Animals; live,20,,,51.1638175,10.4478313
2016,2016,Export,Oman,Indonesia,1,Animals; live,130,,,-2.4833826,117.8902853
2016,2016,Export,Oman,Iran,1,Animals; live,1026090,,,32.6475314,54.5643516
2016,2016,Export,Oman,Iraq,1,Animals; live,55136,,,33.0955793,44.1749775
2016,2016,Export,Oman,Ireland,1,Animals; live,205,,,52.865196,-7.9794599
2016,2016,Export,Oman,Kenya,1,Animals; live,390,,,1.4419683,38.4313975
2016,2016,Export,Oman,Rep. of Korea,1,Animals; live,200,,,,
2016,2016,Export,Oman,Kuwait,1,Animals; live,23709592,,,29.2733964,47.4979476
2016,2016,Export,Oman,Lebanon,1,Animals; live,20,,,33.8750629,35.843409
2016,2016,Export,Oman,Malaysia,1,Animals; live,488,,,4.5693754,102.2656823
2016,2016,Export,Oman,Pakistan,1,Animals; live,434,,,30.3308401,71.247499
2016,2016,Export,Oman,Panama,1,Animals; live,33,,,8.559559,-81.1308434
2016,2016,Export,Oman,Philippines,1,Animals; live,1266,,,12.7503486,122.7312101
2016,2016,Export,Oman,Qatar,1,Animals; live,10883286,,,25.3336984,51.2295295
2016,2016,Export,Oman,Saudi Arabia,1,Animals; live,457999,,,25.6242618,42.3528328
2016,2016,Export,Oman,Seychelles,1,Animals; live,49,,,-4.6574977,55.4540146
2016,2016,Export,Oman,Singapore,1,Animals; live,592,,,1.357107,103.8194992
2016,2016,Export,Oman,South Africa,1,Animals; live,2247,,,-28.8166236,24.991639
2016,2016,Export,Oman,Sudan,1,Animals; live,65,,,14.5844444,29.4917691
2016,2016,Export,Oman,Sweden,1,Animals; live,101,,,59.6749712,14.5208584
2016,2016,Export,Oman,United Arab Emirates,1,Animals; live,65155130,,,24.0002488,53.9994829
2016,2016,Export,Oman,Egypt,1,Animals; live,213,,,26.2540493,29.2675469
2016,2016,Export,Oman,USA,1,Animals; live,2769,,,,
2016,2016,Export,Oman,Venezuela,1,Animals; live,8520,,,8.0018709,-66.1109318
2016,2016,Export,Oman,"Areas, nes",1,Animals; live,311118,,,,
2017,2017,Export,Oman,World,1,Animals; live,66393666,,,-36.8535712,174.7456809
2017,2017,Export,Oman,Bahrain,1,Animals; live,2781773,,,26.1551249,50.5344606
2017,2017,Export,Oman,Bangladesh,1,Animals; live,5929,,,24.4769288,90.2934413
2017,2017,Export,Oman,Brazil,1,Animals; live,3035,,,-10.3333333,-53.2
2017,2017,Export,Oman,Cyprus,1,Animals; live,330,,,34.9823018,33.1451285
2017,2017,Export,Oman,Finland,1,Animals; live,501,,,63.2467777,25.9209164
2017,2017,Export,Oman,France,1,Animals; live,13417,,,46.603354,1.8883335
2017,2017,Export,Oman,Georgia,1,Animals; live,202,,,32.3293809,-83.1137366
2017,2017,Export,Oman,Hungary,1,Animals; live,301,,,47.1817585,19.5060937
2017,2017,Export,Oman,Indonesia,1,Animals; live,111641,,,-2.4833826,117.8902853
2017,2017,Export,Oman,Iran,1,Animals; live,13003,,,32.6475314,54.5643516
2017,2017,Export,Oman,Ireland,1,Animals; live,655,,,52.865196,-7.9794599
2017,2017,Export,Oman,Italy,1,Animals; live,1258,,,42.6384261,12.674297
2017,2017,Export,Oman,Kuwait,1,Animals; live,1107555,,,29.2733964,47.4979476
2017,2017,Export,Oman,Lebanon,1,Animals; live,26,,,33.8750629,35.843409
2017,2017,Export,Oman,Malaysia,1,Animals; live,2470,,,4.5693754,102.2656823
2017,2017,Export,Oman,Malta,1,Animals; live,525,,,35.8885993,14.4476911
2017,2017,Export,Oman,Netherlands,1,Animals; live,95035,,,52.2434979,5.6343227
2017,2017,Export,Oman,Pakistan,1,Animals; live,566,,,30.3308401,71.247499
2017,2017,Export,Oman,Philippines,1,Animals; live,1594,,,12.7503486,122.7312101
2017,2017,Export,Oman,Qatar,1,Animals; live,6359091,,,25.3336984,51.2295295
2017,2017,Export,Oman,Romania,1,Animals; live,520,,,45.9852129,24.6859225
2017,2017,Export,Oman,Saudi Arabia,1,Animals; live,101604,,,25.6242618,42.3528328
2017,2017,Export,Oman,India,1,Animals; live,130,,,22.3511148,78.6677428
2017,2017,Export,Oman,South Africa,1,Animals; live,43427,,,-28.8166236,24.991639
2017,2017,Export,Oman,Thailand,1,Animals; live,390,,,14.8971921,100.83273
2017,2017,Export,Oman,United Arab Emirates,1,Animals; live,54969794,,,24.0002488,53.9994829
2017,2017,Export,Oman,Egypt,1,Animals; live,252,,,26.2540493,29.2675469
2017,2017,Export,Oman,United Kingdom,1,Animals; live,72772,,,54.7023545,-3.2765753
