yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,694,30.3308401,71.247499,39.89317229901691,61.060280637304274
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,6801,30.3308401,71.247499,51.67568633314729,27.673469819741847
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,699748,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,372404,30.3308401,71.247499,59.36075159783851,25.01346951967388
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1155121,30.3308401,71.247499,10.528384761701911,103.08333472012376
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,711297,30.3308401,71.247499,25.499703063807168,75.5024015339642
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,27061,30.3308401,71.247499,40.12399607988535,20.742583178432696
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,637644,30.3308401,71.247499,6.06272746187266,22.727528470146083
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1297342,30.3308401,71.247499,26.42921218083572,52.86847103284948
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,814308,30.3308401,71.247499,47.92172048214207,7.866753258497997
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6446769,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Afghanistan, Afghanistan,11855,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,125989,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,2891,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1369,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,15284,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,264,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,156490,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,182339,30.3308401,71.247499,,
2007,2007,Export,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,83747,30.3308401,71.247499,,
