yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,37566017,,,-16.85099460447687,133.4130365630627
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,948824,,,37.977378106878206,73.97804075806764
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,6234091,,,51.67568633314729,27.673469819741847
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,8548254,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,2093257,,,17.925141963241547,-78.01492950057497
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,59785,,,43.897683433510366,-100.08947125585888
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,5857472,,,59.36075159783851,25.01346951967388
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,229848,,,10.528384761701911,103.08333472012376
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,23705,,,25.499703063807168,75.5024015339642
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,140107,,,40.12399607988535,20.742583178432696
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,877269,,,6.06272746187266,22.727528470146083
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,39374,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1189585,,,26.42921218083572,52.86847103284948
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,44892872,,,47.92172048214207,7.866753258497997
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;,World,World,116724348,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,43936,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,27136,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,9045,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,2189409,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,487,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,1471250,,,,
2006,2006,Import,Syria,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,936554,,,,
