yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,21000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,527000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,8814000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,9000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,1027000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,14881000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5494000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,49000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,18766000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,749000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,31074000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,25514000
2003,2003,Import,Israel,25,Salt; sulfur; earths and stone; plastering materials,World,World,110805000
