yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,211781,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1427576,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,10600,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Africa,Africa,1035,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1540632,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,107739,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,286489,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,5787681,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,56709,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,96343,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,3497590,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2008,2008,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,18198991,38.9597594,34.9249653,,
