yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,176194,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,17165,30.3308401,71.247499,39.89317229901691,61.060280637304274
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2608831,30.3308401,71.247499,37.977378106878206,73.97804075806764
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,227303,30.3308401,71.247499,51.67568633314729,27.673469819741847
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,220235,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,68305,30.3308401,71.247499,19.569604022535763,12.47761721199581
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2899049,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,121138,30.3308401,71.247499,59.36075159783851,25.01346951967388
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,485961,30.3308401,71.247499,10.528384761701911,103.08333472012376
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1519443,30.3308401,71.247499,25.499703063807168,75.5024015339642
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1263341,30.3308401,71.247499,40.12399607988535,20.742583178432696
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,565038,30.3308401,71.247499,6.06272746187266,22.727528470146083
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,18925,30.3308401,71.247499,26.42921218083572,52.86847103284948
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1538509,30.3308401,71.247499,47.92172048214207,7.866753258497997
2006,2006,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,127389938,30.3308401,71.247499,,
