yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,86594,31.17,-7.33,-16.85099460447687,133.4130365630627
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,3048476,31.17,-7.33,37.977378106878206,73.97804075806764
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1548560,31.17,-7.33,51.67568633314729,27.673469819741847
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,140106,31.17,-7.33,,
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1279205,31.17,-7.33,17.925141963241547,-78.01492950057497
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,5729322,31.17,-7.33,43.897683433510366,-100.08947125585888
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,17986686,31.17,-7.33,59.36075159783851,25.01346951967388
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,548365,31.17,-7.33,10.528384761701911,103.08333472012376
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,306,31.17,-7.33,25.499703063807168,75.5024015339642
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,16836250,31.17,-7.33,40.12399607988535,20.742583178432696
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,6206,31.17,-7.33,6.06272746187266,22.727528470146083
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,335782,31.17,-7.33,,
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2010448,31.17,-7.33,26.42921218083572,52.86847103284948
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,38631620,31.17,-7.33,47.92172048214207,7.866753258497997
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,88462481,31.17,-7.33,,
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,298,31.17,-7.33,,
2019,2019,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,41920,31.17,-7.33,,
