yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Re-Export,Oman,World,64,Footwear; gaiters and the like; parts of such articles,31345409,,,-36.8535712,174.7456809
2018,2018,Re-Export,Oman,Bahrain,64,Footwear; gaiters and the like; parts of such articles,624,,,26.1551249,50.5344606
2018,2018,Re-Export,Oman,China,64,Footwear; gaiters and the like; parts of such articles,57425,,,35.000074,104.999927
2018,2018,Re-Export,Oman,Benin,64,Footwear; gaiters and the like; parts of such articles,9994,,,9.5293472,2.2584408
2018,2018,Re-Export,Oman,France,64,Footwear; gaiters and the like; parts of such articles,148,,,46.603354,1.8883335
2018,2018,Re-Export,Oman,Iran,64,Footwear; gaiters and the like; parts of such articles,633243,,,32.6475314,54.5643516
2018,2018,Re-Export,Oman,Kuwait,64,Footwear; gaiters and the like; parts of such articles,336345,,,29.2733964,47.4979476
2018,2018,Re-Export,Oman,Libya,64,Footwear; gaiters and the like; parts of such articles,5253,,,26.8234472,18.1236723
2018,2018,Re-Export,Oman,Qatar,64,Footwear; gaiters and the like; parts of such articles,27869219,,,25.3336984,51.2295295
2018,2018,Re-Export,Oman,Somalia,64,Footwear; gaiters and the like; parts of such articles,1515487,,,8.3676771,49.083416
2018,2018,Re-Export,Oman,United Arab Emirates,64,Footwear; gaiters and the like; parts of such articles,844931,,,24.0002488,53.9994829
2018,2018,Re-Export,Oman,Egypt,64,Footwear; gaiters and the like; parts of such articles,30176,,,26.2540493,29.2675469
2018,2018,Re-Export,Oman,United Rep. of Tanzania,64,Footwear; gaiters and the like; parts of such articles,520,,,,
2018,2018,Re-Export,Oman,Free Zones,64,Footwear; gaiters and the like; parts of such articles,957,,,,
2018,2018,Re-Export,Oman,Yemen,64,Footwear; gaiters and the like; parts of such articles,41081,,,16.3471243,47.8915271
