yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,49852,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,45940,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,853495,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,78552,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1148946,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1533,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1306169,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,128016,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,907023,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4520858,35.8885993,14.4476911,,
2012,2012,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1333,35.8885993,14.4476911,,
