yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,716024,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,70840,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1542451,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,3993633,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,26886449,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,240481967,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,92601,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,297249,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,837350,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,82493186,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,126443,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,57173,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,150068,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,101431,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,36281,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,147215,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,72470305,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,36739197,21.0000287,57.0036901,,
2011,2011,Export,Oman,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,5085400,21.0000287,57.0036901,,
