yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2221487,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,1507,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,2965,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,4482,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,5060373,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,301,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,45362720,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,112047,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,8794033,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,241758,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,15110,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,60947,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,4879781,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,41771,25.3336984,51.2295295,,
2007,2007,Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,14920,25.3336984,51.2295295,,
