yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,rtLat,rtLon,ptLat_export,ptLon_export,mid,TradeValue_import,ptLat_import,ptLon_import
2019.0,2019.0,Export,Oman,World,1.0,Animals; live,57540041.0,,,-36.8535712,174.7456809,12019Oman,232175217.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,2.0,Meat and edible meat offal,50284684.0,,,-36.8535712,174.7456809,22019Oman,314297680.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,3.0,"Fish and crustaceans, molluscs and other aquatic invertebrates",224915558.0,,,-36.8535712,174.7456809,32019Oman,61431739.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",240782558.0,,,-36.8535712,174.7456809,42019Oman,721390507.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,5.0,Animal originated products; not elsewhere specified or included,115362.0,,,-36.8535712,174.7456809,52019Oman,1969232.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,6.0,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",626533.0,,,-36.8535712,174.7456809,62019Oman,7703718.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,7.0,Vegetables and certain roots and tubers; edible,48148221.0,,,-36.8535712,174.7456809,72019Oman,162884643.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,8.0,"Fruit and nuts, edible; peel of citrus fruit or melons",60765591.0,,,-36.8535712,174.7456809,82019Oman,280907532.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,9.0,"Coffee, tea, mate and spices",12346102.0,,,-36.8535712,174.7456809,92019Oman,93097812.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,10.0,Cereals,8287281.0,,,-36.8535712,174.7456809,102019Oman,517158057.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,11.0,"Products of the milling industry; malt, starches, inulin, wheat gluten",85032208.0,,,-36.8535712,174.7456809,112019Oman,32181955.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",11284654.0,,,-36.8535712,174.7456809,122019Oman,27455420.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,13.0,"Lac; gums, resins and other vegetable saps and extracts",417669.0,,,-36.8535712,174.7456809,132019Oman,7553676.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,186429.0,,,-36.8535712,174.7456809,142019Oman,956161.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,158797330.0,,,-36.8535712,174.7456809,152019Oman,214971465.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",15734992.0,,,-36.8535712,174.7456809,162019Oman,75114401.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,17.0,Sugars and sugar confectionery,12438524.0,,,-36.8535712,174.7456809,172019Oman,85540824.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,18.0,Cocoa and cocoa preparations,32275976.0,,,-36.8535712,174.7456809,182019Oman,142699571.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,19.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products",194271493.0,,,-36.8535712,174.7456809,192019Oman,218721382.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",33683240.0,,,-36.8535712,174.7456809,202019Oman,188088427.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,21.0,Miscellaneous edible preparations,96408459.0,,,-36.8535712,174.7456809,212019Oman,133383756.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,22.0,"Beverages, spirits and vinegar",13533416.0,,,-36.8535712,174.7456809,222019Oman,105006991.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,23.0,"Food industries, residues and wastes thereof; prepared animal fodder",73509741.0,,,-36.8535712,174.7456809,232019Oman,136512892.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,24.0,Tobacco and manufactured tobacco substitutes,477958534.0,,,-36.8535712,174.7456809,242019Oman,320814899.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,25.0,"Salt; sulphur; earths, stone; plastering materials, lime and cement",363401231.0,,,-36.8535712,174.7456809,252019Oman,279349844.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,26.0,"Ores, slag and ash",525472038.0,,,-36.8535712,174.7456809,262019Oman,874105463.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",26774893005.0,,,-36.8535712,174.7456809,272019Oman,360701806.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,28.0,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",13154074.0,,,-36.8535712,174.7456809,282019Oman,278759865.0,-36.8535712,174.7456809
2019.0,2019.0,Export,Oman,World,29.0,Organic chemicals,1282593049.0,,,-36.8535712,174.7456809,292019Oman,88940712.0,-36.8535712,174.7456809
