yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,110725,25.6242618,42.3528328,19.569604022535763,12.47761721199581
2014,2014,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1459979,25.6242618,42.3528328,47.92172048214207,7.866753258497997
2014,2014,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,2222252,25.6242618,42.3528328,,
