yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,18481641,26.82,18.12,-16.85099460447687,133.4130365630627
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,2700,26.82,18.12,37.977378106878206,73.97804075806764
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,31937698,26.82,18.12,51.67568633314729,27.673469819741847
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,38913298,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,11129960,26.82,18.12,17.925141963241547,-78.01492950057497
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,3126131,26.82,18.12,43.897683433510366,-100.08947125585888
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,39582128,26.82,18.12,59.36075159783851,25.01346951967388
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1918963,26.82,18.12,10.528384761701911,103.08333472012376
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,47224046,26.82,18.12,40.12399607988535,20.742583178432696
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,11621497,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,22491123,26.82,18.12,26.42921218083572,52.86847103284948
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,125174553,26.82,18.12,47.92172048214207,7.866753258497997
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,World,World,385630359,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,362854,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,381803,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,11360,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,3061025,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,19386795,26.82,18.12,,
2018,2018,Import,Libya,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,9786730,26.82,18.12,,
