yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,39136,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,593291,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,18615,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,143419,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,1284842,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,550033,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,9602,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,2532015,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,2751691,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,75746,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Tunisia,Tunisia,1071,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,5935,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,2554146,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,18305892,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Algeria, Algeria,32011,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Azerbaijan, Azerbaijan,493513,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Bahrain, Bahrain,3773,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Cyprus, Cyprus,335882,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Georgia, Georgia,3665742,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Iraq, Iraq,1585039,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Israel, Israel,777029,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Jordan, Jordan,7294,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Lebanon, Lebanon,40803,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Libya, Libya,651883,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Mauritania, Mauritania,36357,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Morocco, Morocco,107999,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Qatar, Qatar,4524,38.9597594,34.9249653,,
2011,2011,Export,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,475,38.9597594,34.9249653,,
