yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,19521942,31.1728205,-7.3362482,-16.85099460447687,133.4130365630627
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,100611,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1612401,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,4159,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,1435480,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,2018708,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,21006926,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,7057,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,5517,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,9112599,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,13180,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,34115703,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,89921308,31.1728205,-7.3362482,,
2002,2002,Import,Morocco,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,233985,31.1728205,-7.3362482,,
