yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Saudi Arabia,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",29042436,,,-36.8535712,174.7456809
2016,2016,Import,Saudi Arabia,China,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",22465894,,,35.000074,104.999927
2016,2016,Import,Saudi Arabia,France,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",353333,,,46.603354,1.8883335
2016,2016,Import,Saudi Arabia,Germany,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",1072268,,,51.1638175,10.4478313
2016,2016,Import,Saudi Arabia,Indonesia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",29600,,,-2.4833826,117.8902853
2016,2016,Import,Saudi Arabia,Italy,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",708000,,,42.6384261,12.674297
2016,2016,Import,Saudi Arabia,Jordan,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",27200,,,31.1667049,36.941628
2016,2016,Import,Saudi Arabia,Kenya,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",587734,,,1.4419683,38.4313975
2016,2016,Import,Saudi Arabia,Lebanon,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",82133,,,33.8750629,35.843409
2016,2016,Import,Saudi Arabia,Malaysia,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",365067,,,4.5693754,102.2656823
2016,2016,Import,Saudi Arabia,"Other Asia, nes",46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",885867,,,,
2016,2016,Import,Saudi Arabia,Morocco,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",125866,,,31.1728205,-7.3362482
2016,2016,Import,Saudi Arabia,Portugal,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",32266,,,39.6621648,-8.1353519
2016,2016,Import,Saudi Arabia,India,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",205066,,,22.3511148,78.6677428
2016,2016,Import,Saudi Arabia,Viet Nam,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",970134,,,15.9266657,107.9650855
2016,2016,Import,Saudi Arabia,South Africa,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",132800,,,-28.8166236,24.991639
2016,2016,Import,Saudi Arabia,Thailand,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",35466,,,14.8971921,100.83273
2016,2016,Import,Saudi Arabia,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",39200,,,24.0002488,53.9994829
2016,2016,Import,Saudi Arabia,Turkey,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",205333,,,38.9597594,34.9249653
2016,2016,Import,Saudi Arabia,Egypt,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",432267,,,26.2540493,29.2675469
2016,2016,Import,Saudi Arabia,United Kingdom,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",27200,,,54.7023545,-3.2765753
2016,2016,Import,Saudi Arabia,United Rep. of Tanzania,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",228266,,,,
2016,2016,Import,Saudi Arabia,USA,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",31466,,,,
