yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2011,2011,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,12822
2011,2011,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,12217
2011,2011,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,12488
2011,2011,Re-Export,Cyprus,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,37527
