yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Africa,Africa,35211,31.1667049,36.941628,19.569604022535763,12.47761721199581
2009,2009,Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,36135,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2009,2009,Export,Jordan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,3177758,31.1667049,36.941628,,
