yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,1455474,30.3308401,71.247499,39.89317229901691,61.060280637304274
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1174788,30.3308401,71.247499,51.67568633314729,27.673469819741847
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,296731,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,4885,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,2534841,30.3308401,71.247499,6.06272746187266,22.727528470146083
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sudan,Sudan,362651,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,24830,30.3308401,71.247499,26.42921218083572,52.86847103284948
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,11726907,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Afghanistan, Afghanistan,4698968,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Algeria, Algeria,59574,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Azerbaijan, Azerbaijan,425570,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Georgia, Georgia,75584,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Iraq, Iraq,20994,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Jordan, Jordan,22550,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,52309,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Libya, Libya,10249,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Oman, Oman,57141,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,292575,30.3308401,71.247499,,
2021,2021,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,157181,30.3308401,71.247499,,
