yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,107296,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,3137143,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,1334754,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,117,38.9597594,34.9249653,,
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,409143,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1550102,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,941278,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,784237,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,492800,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,16399806,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,25231981,38.9597594,34.9249653,,
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Iraq, Iraq,4799,38.9597594,34.9249653,,
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Israel, Israel,70286,38.9597594,34.9249653,,
2008,2008,Import,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,110,38.9597594,34.9249653,,
