yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,119025,,,,
2010,2010,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,192780,,,26.42921218083572,52.86847103284948
2010,2010,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,22331,,,47.92172048214207,7.866753258497997
2010,2010,Export,Fmr Sudan,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,334136,,,,
