yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1478791,31.17,-7.33,37.977378106878206,73.97804075806764
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,66195,31.17,-7.33,51.67568633314729,27.673469819741847
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,323144,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,567676,31.17,-7.33,17.925141963241547,-78.01492950057497
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,6791590,31.17,-7.33,43.897683433510366,-100.08947125585888
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,9606876,31.17,-7.33,59.36075159783851,25.01346951967388
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,385843,31.17,-7.33,10.528384761701911,103.08333472012376
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,13014265,31.17,-7.33,40.12399607988535,20.742583178432696
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,3967,31.17,-7.33,6.06272746187266,22.727528470146083
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,243902,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,148715,31.17,-7.33,26.42921218083572,52.86847103284948
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,36143594,31.17,-7.33,47.92172048214207,7.866753258497997
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,70154533,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,8257,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,10427,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,2856,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,1162156,31.17,-7.33,,
2011,2011,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,123092,31.17,-7.33,,
