yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,147532,26.8234472,18.1236723,51.67568633314729,27.673469819741847
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,30000398,26.8234472,18.1236723,,
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,783,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,72544,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,9857,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,3623981,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,4544413,26.8234472,18.1236723,,
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,5815718,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,20356,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin,World,World,44596806,26.8234472,18.1236723,,
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,10029,26.8234472,18.1236723,,
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,61963,26.8234472,18.1236723,,
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin, Morocco, Morocco,116915,26.8234472,18.1236723,,
2018,2018,Import,Libya,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,172307,26.8234472,18.1236723,,
