yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,16318,31.17,-7.33,-16.85099460447687,133.4130365630627
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,3143533,31.17,-7.33,39.89317229901691,61.060280637304274
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1238507,31.17,-7.33,37.977378106878206,73.97804075806764
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,230668212,31.17,-7.33,51.67568633314729,27.673469819741847
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,3498212,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,98150,31.17,-7.33,17.925141963241547,-78.01492950057497
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,6905882,31.17,-7.33,43.897683433510366,-100.08947125585888
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,16675512,31.17,-7.33,59.36075159783851,25.01346951967388
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,296,31.17,-7.33,10.528384761701911,103.08333472012376
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,4576565,31.17,-7.33,25.499703063807168,75.5024015339642
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,50583999,31.17,-7.33,40.12399607988535,20.742583178432696
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,283416,31.17,-7.33,6.06272746187266,22.727528470146083
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,97152,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,5743865,31.17,-7.33,26.42921218083572,52.86847103284948
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,49884723,31.17,-7.33,47.92172048214207,7.866753258497997
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,452346088,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,8674,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,3434,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,7122844,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,2585723,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,39149730,31.17,-7.33,,
2010,2010,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,29455896,31.17,-7.33,,
