yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,3538589,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,203472,25.62,42.35,10.528384761701911,103.08333472012376
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1060348,25.62,42.35,25.499703063807168,75.5024015339642
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,156475,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3758883,25.62,42.35,26.42921218083572,52.86847103284948
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,62483,25.62,42.35,47.92172048214207,7.866753258497997
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,22185873,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,867558,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,3271566,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,1848600,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,2061952,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,1245128,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,124433,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,68358,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,603739,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1797599,25.62,42.35,,
2006,2006,Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,962618,25.62,42.35,,
