yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,2545724,,,,
2008,2008,Export,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Lebanon, Lebanon,2475441,,,,
2008,2008,Export,Syria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Saudi Arabia, Saudi Arabia,70283,,,,
