yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,68438,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1205368,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,3572,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,28734,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1444,25.3336984,51.2295295,17.925141963241547,-78.01492950057497
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,4715018,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1306205,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,202610,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,66899,25.3336984,51.2295295,25.499703063807168,75.5024015339642
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,651251,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,296,25.3336984,51.2295295,6.06272746187266,22.727528470146083
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,198,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,145291,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1737327,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,18560028,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,44,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,1567,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,93057,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,5586,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,19095,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,308,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,2733414,25.3336984,51.2295295,,
2013,2013,Import,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,3791589,25.3336984,51.2295295,,
