yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1413173,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,747722,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,8850075,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,158,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,2469,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,8259539,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,830636,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,9827841,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,107191,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,30829,28.0000272,2.9999825,,
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,6027992,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,World,World,45105277,28.0000272,2.9999825,,
2006,2006,Export,Algeria,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,24,28.0000272,2.9999825,,
