yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,21364369,31.17,-7.33,-16.85099460447687,133.4130365630627
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,497739,31.17,-7.33,37.977378106878206,73.97804075806764
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,11937484,31.17,-7.33,51.67568633314729,27.673469819741847
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,228478,31.17,-7.33,,
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,6539465,31.17,-7.33,17.925141963241547,-78.01492950057497
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1544942,31.17,-7.33,43.897683433510366,-100.08947125585888
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,21204116,31.17,-7.33,59.36075159783851,25.01346951967388
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,11485980,31.17,-7.33,40.12399607988535,20.742583178432696
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,73763,31.17,-7.33,26.42921218083572,52.86847103284948
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,46644545,31.17,-7.33,47.92172048214207,7.866753258497997
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,133669874,31.17,-7.33,,
2005,2005,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1949177,31.17,-7.33,,
