yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,29285,,,-16.85099460447687,133.4130365630627
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,632301,,,37.977378106878206,73.97804075806764
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,6676383,,,51.67568633314729,27.673469819741847
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,139294852,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,103615,,,17.925141963241547,-78.01492950057497
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,6032,,,43.897683433510366,-100.08947125585888
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,822177,,,59.36075159783851,25.01346951967388
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,108899,,,10.528384761701911,103.08333472012376
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,106844,,,25.499703063807168,75.5024015339642
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,5960207,,,40.12399607988535,20.742583178432696
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,83480,,,6.06272746187266,22.727528470146083
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,47749382,,,26.42921218083572,52.86847103284948
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,874437,,,47.92172048214207,7.866753258497997
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,World,World,261497064,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,1664411,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,143527,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,688217,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,8047024,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,1908,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,43868573,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,238815,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,742254,,,,
2006,2006,Import,Syria,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,308219,,,,
