yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Re-Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3,32.3293809,-83.1137366,,
2015,2015,Re-Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1915,40.7696272,44.6736646,,
2020,2020,Re-Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,685,40.7696272,44.6736646,,
2005,2005,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,13865,30.3308401,71.247499,,
2014,2014,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,105649,30.3308401,71.247499,,
2015,2015,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,100542,30.3308401,71.247499,,
2016,2016,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,152484,30.3308401,71.247499,,
2017,2017,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,246909,30.3308401,71.247499,,
2018,2018,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,145176,30.3308401,71.247499,,
2019,2019,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,56546,30.3308401,71.247499,,
2020,2020,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,11201,30.3308401,71.247499,,
2021,2021,Re-Import,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,25123,30.3308401,71.247499,,
