yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Export,Kuwait,World,64.0,Footwear; gaiters and the like; parts of such articles,8262517.0,,29.2733964,47.4979476,-36.8535712,174.7456809
2015,2015.0,Export,Kuwait,Afghanistan,64.0,Footwear; gaiters and the like; parts of such articles,601.0,,29.2733964,47.4979476,33.7680065,66.2385139
2015,2015.0,Export,Kuwait,Bahrain,64.0,Footwear; gaiters and the like; parts of such articles,1506556.0,,29.2733964,47.4979476,26.1551249,50.5344606
2015,2015.0,Export,Kuwait,Bulgaria,64.0,Footwear; gaiters and the like; parts of such articles,332.0,,29.2733964,47.4979476,42.6073975,25.4856617
2015,2015.0,Export,Kuwait,Canada,64.0,Footwear; gaiters and the like; parts of such articles,9254.0,,29.2733964,47.4979476,61.0666922,-107.991707
2015,2015.0,Export,Kuwait,China,64.0,Footwear; gaiters and the like; parts of such articles,13502.0,,29.2733964,47.4979476,35.000074,104.999927
2015,2015.0,Export,Kuwait,France,64.0,Footwear; gaiters and the like; parts of such articles,99395.0,,29.2733964,47.4979476,46.603354,1.8883335
2015,2015.0,Export,Kuwait,Ghana,64.0,Footwear; gaiters and the like; parts of such articles,17451.0,,29.2733964,47.4979476,8.0300284,-1.0800271
2015,2015.0,Export,Kuwait,Iran,64.0,Footwear; gaiters and the like; parts of such articles,52659.0,,29.2733964,47.4979476,32.6475314,54.5643516
2015,2015.0,Export,Kuwait,Iraq,64.0,Footwear; gaiters and the like; parts of such articles,30624.0,,29.2733964,47.4979476,33.0955793,44.1749775
2015,2015.0,Export,Kuwait,Italy,64.0,Footwear; gaiters and the like; parts of such articles,1224300.0,,29.2733964,47.4979476,42.6384261,12.674297
2015,2015.0,Export,Kuwait,Côte d'Ivoire,64.0,Footwear; gaiters and the like; parts of such articles,13951.0,,29.2733964,47.4979476,7.9897371,-5.5679458
2015,2015.0,Export,Kuwait,Jordan,64.0,Footwear; gaiters and the like; parts of such articles,15802.0,,29.2733964,47.4979476,31.1667049,36.941628
2015,2015.0,Export,Kuwait,Lebanon,64.0,Footwear; gaiters and the like; parts of such articles,337195.0,,29.2733964,47.4979476,33.8750629,35.843409
2015,2015.0,Export,Kuwait,Morocco,64.0,Footwear; gaiters and the like; parts of such articles,2011.0,,29.2733964,47.4979476,31.1728205,-7.3362482
2015,2015.0,Export,Kuwait,Philippines,64.0,Footwear; gaiters and the like; parts of such articles,14605.0,,29.2733964,47.4979476,12.7503486,122.7312101
2015,2015.0,Export,Kuwait,Qatar,64.0,Footwear; gaiters and the like; parts of such articles,728935.0,,29.2733964,47.4979476,25.3336984,51.2295295
2015,2015.0,Export,Kuwait,Saudi Arabia,64.0,Footwear; gaiters and the like; parts of such articles,501051.0,,29.2733964,47.4979476,25.6242618,42.3528328
2015,2015.0,Export,Kuwait,Zimbabwe,64.0,Footwear; gaiters and the like; parts of such articles,279.0,,29.2733964,47.4979476,-18.4554963,29.7468414
2015,2015.0,Export,Kuwait,Spain,64.0,Footwear; gaiters and the like; parts of such articles,2296.0,,29.2733964,47.4979476,39.3260685,-4.8379791
2015,2015.0,Export,Kuwait,Switzerland,64.0,Footwear; gaiters and the like; parts of such articles,344242.0,,29.2733964,47.4979476,46.7985624,8.2319736
2015,2015.0,Export,Kuwait,United Arab Emirates,64.0,Footwear; gaiters and the like; parts of such articles,3195204.0,,29.2733964,47.4979476,24.0002488,53.9994829
2015,2015.0,Export,Kuwait,Egypt,64.0,Footwear; gaiters and the like; parts of such articles,1030.0,,29.2733964,47.4979476,26.2540493,29.2675469
2015,2015.0,Export,Kuwait,United Kingdom,64.0,Footwear; gaiters and the like; parts of such articles,13475.0,,29.2733964,47.4979476,54.7023545,-3.2765753
2015,2015.0,Export,Kuwait,Free Zones,64.0,Footwear; gaiters and the like; parts of such articles,129737.0,,29.2733964,47.4979476,5.57675525,-0.1653113957934536
2015,2015.0,Export,Kuwait,USA,64.0,Footwear; gaiters and the like; parts of such articles,8017.0,,29.2733964,47.4979476,39.7837304,-100.445882
