yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,208,31.17,-7.33,-16.85099460447687,133.4130365630627
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1908604,31.17,-7.33,37.977378106878206,73.97804075806764
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,473898,31.17,-7.33,51.67568633314729,27.673469819741847
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,783725,31.17,-7.33,,
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2020405,31.17,-7.33,17.925141963241547,-78.01492950057497
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,7313177,31.17,-7.33,43.897683433510366,-100.08947125585888
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,11637214,31.17,-7.33,59.36075159783851,25.01346951967388
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,1295743,31.17,-7.33,10.528384761701911,103.08333472012376
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,13109720,31.17,-7.33,40.12399607988535,20.742583178432696
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,220656,31.17,-7.33,,
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,666221,31.17,-7.33,26.42921218083572,52.86847103284948
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,34885461,31.17,-7.33,47.92172048214207,7.866753258497997
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,75231425,31.17,-7.33,,
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,1237,31.17,-7.33,,
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,46,31.17,-7.33,,
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,632599,31.17,-7.33,,
2013,2013,Import,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,20745,31.17,-7.33,,
