yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,111367,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,172291,30.3308401,71.247499,39.89317229901691,61.060280637304274
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2704342,30.3308401,71.247499,37.977378106878206,73.97804075806764
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,4850,30.3308401,71.247499,51.67568633314729,27.673469819741847
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,1038146,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,71895,30.3308401,71.247499,59.36075159783851,25.01346951967388
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,857505,30.3308401,71.247499,10.528384761701911,103.08333472012376
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1305050,30.3308401,71.247499,25.499703063807168,75.5024015339642
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,967818,30.3308401,71.247499,40.12399607988535,20.742583178432696
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,101515,30.3308401,71.247499,6.06272746187266,22.727528470146083
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,11931,30.3308401,71.247499,26.42921218083572,52.86847103284948
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,396196,30.3308401,71.247499,47.92172048214207,7.866753258497997
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,38194457,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Afghanistan, Afghanistan,27640277,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,56885,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Iraq, Iraq,497749,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,39461,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,297404,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Lebanon, Lebanon,14974,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Mauritania, Mauritania,3256,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Qatar, Qatar,844364,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,412652,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,3043,30.3308401,71.247499,,
2004,2004,Export,Pakistan,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,9036,30.3308401,71.247499,,
