yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Australia and New Zealand,Oceania,131216,30.3308401,71.247499,-16.85099460447687,133.4130365630627
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,760108,30.3308401,71.247499,37.977378106878206,73.97804075806764
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,369671,30.3308401,71.247499,51.67568633314729,27.673469819741847
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,361736,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,828646,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Melanesia,Oceania,2442,30.3308401,71.247499,1.0108650891006263,147.3257485906919
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,1659996,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,1641731,30.3308401,71.247499,59.36075159783851,25.01346951967388
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,557489,30.3308401,71.247499,10.528384761701911,103.08333472012376
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,782339,30.3308401,71.247499,25.499703063807168,75.5024015339642
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,2323069,30.3308401,71.247499,40.12399607988535,20.742583178432696
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,1032788,30.3308401,71.247499,6.06272746187266,22.727528470146083
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,408448,30.3308401,71.247499,26.42921218083572,52.86847103284948
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,2436358,30.3308401,71.247499,47.92172048214207,7.866753258497997
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,17489816,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Afghanistan, Afghanistan,2281,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Bahrain, Bahrain,33335,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Cyprus, Cyprus,20333,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Djibouti, Djibouti,1203,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Jordan, Jordan,30631,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Kuwait, Kuwait,72729,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Lebanon, Lebanon,48109,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Malta, Malta,8400,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Oman, Oman,137241,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Qatar, Qatar,20477,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,816542,30.3308401,71.247499,,
2011,2011,Export,Pakistan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,2849612,30.3308401,71.247499,,
