yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,68096,33.8750629,35.843409,37.977378106878206,73.97804075806764
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,31,33.8750629,35.843409,51.67568633314729,27.673469819741847
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,4099,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,22679,33.8750629,35.843409,59.36075159783851,25.01346951967388
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,1304,33.8750629,35.843409,10.528384761701911,103.08333472012376
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1177376,33.8750629,35.843409,40.12399607988535,20.742583178432696
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,51940,33.8750629,35.843409,26.42921218083572,52.86847103284948
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,420694,33.8750629,35.843409,47.92172048214207,7.866753258497997
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,1841841,33.8750629,35.843409,,
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Bahrain, Bahrain,60179,33.8750629,35.843409,,
2021,2021,Import,Lebanon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,24576,33.8750629,35.843409,,
